Date,KOSPI200
2022-10-31,299.57999
2022-11-30,321.0
2022-12-31,291.10001
2023-01-31,317.26001
2023-02-28,314.79999
2023-03-31,322.03
2023-04-30,326.45999
2023-05-31,339.12
2023-06-30,337.95001
2023-07-31,345.62
2023-08-31,334.75
2023-09-30,326.70999
2023-10-31,305.56
2023-11-30,338.42999
2023-12-31,357.98999
2024-01-31,336.23999
2024-02-29,355.57001
2024-03-31,374.63
2024-04-30,365.13
2024-05-31,358.20999
2024-06-30,384.01999
2024-07-31,380.48999
2024-08-31,361.54999
2024-09-30,344.76
2024-10-31,339.32
2024-11-30,325.45
2024-12-31,317.82
2025-01-31,333.36
2025-02-28,334.27
2025-03-31,332.4
2025-04-30,338.74
2025-05-31,359.62
2025-06-19,399.29
